text,label
гќн» бб√гб. . «б”б«г Џбняг «бёнг… ‘«гбб« «б√ЁЎ«— Ќёнё « «жб г—… «‘жЁ «ЁЎ«— яг« —«н  Ќ « Ён «бЋб«Ћ… дћжг бг «‘«еѕ г«‘е  жЌёнё… б¬«Џ—Ё янЁ н’дЁ «—»Џ… дћжг дћг… ж«Ќѕ… яЋн— Ён Ќё… ж«д я«д «—м «д няжд џ—Ё гЁ—ж‘… жбн” Ёдѕё «бЁЎж— Џн‘ жЁжб ћ»… —ѕн∆… ћѕ« Џ”б —ѕн∆ д«‘Ё «г« «б”бЎ… жен Џ»«—м Џд ќ” ЁёЎ жя«д  «бя«—Ћ… г«жћѕ  гд ѕнѕ«д жёг… » »бнџ гѕн— «бЁдѕё Ќнде« ж«бЌёнё… я«д —ѕ… ћѕ« ћгнб яб Ёд«ѕё гя… я–« жяг яд  « гд« «д няжд бѕн —ёг «б”н«Ќ… жё е« бб »бнџ,0
гћ—жЌ…  гЋбн ,0
ж«««ж,1
«бЌгѕ ббе «де б«“«б гд нЌнн «—ж«Ќд« «б÷г«Ѕ бе–« «бг” жм —»н нЌЁўян «ќ «е,1
бб«”Ё √ќ н«— ќ«Ў∆. «бгжёЏ ж”Ў «бгѕнд… жг— »Ў »«бжЌѕ… гжб. Ў«ёг «б«” ё»«б џн— г—÷м. ѕ«∆г« г‘яб… Ём дў«г Ё Ќ √»ж«» «бџ—Ё.√ѕж«  «бдў«Ё… «б‘ќ’н… џн— гя гб…  г Ўб»е«.б«нжћѕ гяжм гб«»”  г Ўб»е«.«бЌг«г б«нжћѕ ‘Ё«Ё жя«дд« Ём ѕжб… «ћд»н… жбн”  Џ—»н… г”бге бёѕ ёг  »ё÷«Ѕ ќг” бн«бм жя«д Ём «ќ— нжгнд б««” ЎнЏ ѕќжб «бџ—Ё ≈б« »г”«Џѕ… ‘ќ’ гЏ«е «бгЁ «Ќ «бг«” — ж–ббя бжћжѕ г‘яб… Ём «б»«».,0
г«бя ё«б д»нд« гЌгѕ ’б« «ббе Џбне ж«бе ж’Ќ»е ж”бг жбж яд ж Џбм »Ќ— Ёё ’ѕж,1
   «ббег ’бн ж”бг Џб« бЌ»н» √гнд,1
н”Џѕя    «ё—«е« «б«д,1
«бѕн»бжг«”н еж √н÷« ‘«–. нЏдн н”ж”жд гЏ »Џ÷.,0
   «Ќ”д где,1
Ёб”Ўнд Ёб”Ўнд  ”ёЎ ≈”—«∆нб,0
ё—’ г—д,1
нбЏдя ж«Ќѕ  «Ёе,0
б« нжћѕ  ж«“д Џдѕ «б«ге«  «бЋб«Ћ… б« Џ«ЎЁн« жб« Џёбн« ..бб√”Ё е–« «я»— џбЎ,0
«Ўб» гд —»н н”«гЌдн жн«ќ–дн «бм «бё»—,0
ёЁб гЏ гЁ «Ќ,1
г,1
«‘«—… г—ж— Џ«гжѕн…,1
«бЌ‘н‘ »Џгб «я — гд еня,0
г««Ќбм гд жћее« «б« ’ж е«,1
—еЁ бн‘ г« ’ж—н гЏ »‘«— б«дж Ёнѕнже« яг «бёѕнге гЏ »‘«— я н— Ќбж… «бн »ѕж —еЁ  Џгб Ёнѕнж гЏ »‘«— нўџЎ б«ня «Ќ»я —еЁ ,1
« гдм  ‘ —я Ён ёд« н »бн“ « гдм Џбм «б√ёб ,1
е«н «ќ—н е бб‘«н «ббн » ж“Џ »«б«Џ—«”,0
—еЁ «Ќ»я г—е,1
г‘яб… «б»ж  бж» Ён «бћн ћн ЁёЎ «бћн  г«»н е«н «бг‘яб… »н г‘яб… »«б‘«‘… жен… «б«Ќ —«ё,0
’ѕ«г ћ«д ќ«д”ег ќд” б≈”—«∆нб ж«ббе бж ’ѕ«г »Џѕ… Џ«н‘ гћ«д  яѕ— ≈”—«∆нб  Ќ б Ёб”Ўнд,0
 “бћ,1
Ёѕн  «бЏнжд «б”жѕе ,1
б«яд «бЁ «… бн” ’«Ќ»… «бЏнжд «бж«”Џ… ед«я Ё н«… яЋнн— Џнждег ж«”Џнд,0
яд  «ѕ—” »«б«» ѕ«∆н я«дж н”гждн «бЏн«б «»ж —«”  ж«бЌнд «бЌгѕ ббе н”гждн «»ж ’г«ќ ,0
»”г «ббе «б—Ќгд «б—Ќнг жћее  ёжб ћдн,0
яб«г ЁнЁж ябе г«Ён где ‘н »«бгдЎё,0
н« д«” «бћ»е«  ёжне   ,0
√Ќ»яг н« «Ќбм д«” »«бЏ«бг √Ќ»яг еж«н еж«н √Ќ»яг,1
жбя Ё÷Ќ  б»д«д,0
—«Ќ  «бѕдн« »√ебе« «жб гд ”гЏ е«  «н«г Ќбж… ћ«д ,1
ѕжб ћнд Џ‘«д н√ябж,0
жЌ‘,1
«д н я н— г я»———————,0
Ў«бЏе Ќбже гя«д «б”ж«ё… «дн гд «бЏ—«ё н« «Ќбм —еЁ,1
 ќн«— жб« ћ“—е ,1
янЁ ё»б »‘е— жёб н гЏ «дж »«бЌћ— «б’Ќн »” ћ» «,1
«ббе н«ќ– «”—«∆нб,0
бж яб ж«ѕ “н яѕ… нќ—ћ ббд«” н ÷—» »«бћ“г… г‘ ен»ём жб« ћ“г… “н «бж«ѕ ѕе,0
ж«ббе «н гЌб гќ«бЁ б«“г ндЌЎ «”ге гЋб гЌб «бЏ’н— ќбне няжд Џ»—е »яЁн «Ќд« гд гнд жб« гнд д бё«е« гдег ббе,0
ееееее,1
б« нЎ»Џ «б« «»д “д« «б Ў»нЏ Ќ—«г ж «бгЎ»Џнд ”нѕЁЏжд «бЋгд џ«бн« ћѕ«,0
«‘«—… бб√”Ёб,1
Ў«∆—…,1
«ќ— —”«б… гд «»н я«д  —Ќ д—жЌ »я—« бгж«“нд —Ќ няжд г«—‘гнбж беня ће“н Ќ«бя ббг Џ… Ќ»н» н ,0
еж «“«н ѕе г–нЏ ж »н бћбћ я н— ж »нд”н,0
бнбн гЏе« Ќё,1
«ЁЁЁ « гдм »е«н «бЌ÷е е”е «гж  жќб’ ѕЏжбн ,0
Ћг«дн…,1
г—е жЌѕе »«б«”»жЏ жеж г “жћ................................  Ёне ‘н џбЎ ж«б« «д« џбЎ«де г« ÷»Ў,0
н«—»  д«г ж ’Ќн Џбн ќ»— н”Џѕя жнд”ня ег «б«н«г «ббн Ќ“д е« Ўжб Џг—я н«ббн  Џгб б«ня ж«‘ —«я,1
« гдн  “нѕ Ќбё«  «бе«—ѕ жн— ќ«’… «бяг»нж —,1
«ббе неѕн «бяжн н «ббн ЎбЏе,0
«Ќб« ёд«  —еЁ »—ж  ” «еб «бгбнжд ,1
н« жбѕ  Џ—Ё «д »«—н н ё ё ’Ќ,0
 ееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееее,1
«бќ«б ‘ябе ‘«—» «б‘«ен ябе .,0
н«—»н нжг «бн жћгЏ »н”н н«—» ,1
яЁ« »«бгж  ж«Џ÷«,1
«б“бге Ќянж гў»жЎ «д Џдѕн  «жб«ѕ ж»’—Ё «бЁ »” » Ќгг яб нжг,1
«ббег «ЌЁў «бЏ—«ё ж‘Џ»е «ббег √гнд,1
 я‘н—,0
жен ‘ж «ќ–е« «бм ед«я гя«д Ќ—» жё’Ё Ќ«»…  ё«»б —»е« »ѕжд Ќћ«»њ,0
џн— г—нЌ. . «бгжёЏ Ёжё ћ»б жб«нжћѕ гж«ёЁ бб”н«—е »«б≈÷«Ё… б÷нё «бџ—Ё ЌнЋ √д «бЌг«г »ћ«д» «б”—н— .. √д’Ќ »Ёдѕё ¬ќ—,0
«гж «—ћб гдж,0
я—… «б»жбндџ,1
н«ббе ‘ж е«б»д  ЏЁжне ж» дЌ» ,1
’ЌнЌ »«—я «ббе Ёня ,1
«‘г√“н  гдеж «ббе г” Ё“,0
ѕгя Ћёнб ж  ёбѕ Ён »«—н,0
г«÷»Ўя гЏ«я Ёнѕнж ”«гћ еж ќб’ж« «бд«” «бн   ябг Џдег,0
г«‘«Ѕ «ббе г б «бёг—,1
≈д  «бЌ»,1
ё»б ‘е— г«яд‘ Ќћ— «бгд«“бн,1
дё—Ё  ,0
«ббе ж«я»— Џбне «ёѕг гќ»“ же«бёѕ ж”ќ г” е — Ён √—ж«Ќ «бд«”,0
н« бн е нЏбг √дн б”  √–я—е жянЁ √–я—е ≈– б”  «д”«е гд н”яд «б—жЌ янЁ «бёб» нд”«е,1
б«   Ќ—— «бёѕ”Ќ н  Ќ— »б«ѕд« «бЏ—»не гд Ќя«ге« «б’е«нде,0
«Ёжя«ѕж Ќ—Ё «б«бЁ,1
яб гд нЌ» —÷м «бж«бѕнд Ёб нѕг— “— «бб«ня,1
«жжжЁ няб»н ,0
ё’нѕе  «»ж Ўн»  «бг д»н,1
» ёбѕ ”»жян,0
«б”«Џ… «бЋ«бЋ… жд’Ё,1
«бЌ‘н‘ «’бн,0
« гдм «яжд н нге,0
 ѕббнд Ќ»н» н «бн нЌ» —еЁ г бн нЌя б«ня,1
ж«ббе «‘н гќ“н жбж Џдѕе ‘жн «Ќ —«г б–« е г« »Џгб еня «Џг«б жбяд бб«”Ё е–« еж г” ж«е н »ЎЌ жн ЁЏЁб Џбм «б«—÷ «яЋ— гд еня г« »н”жм,0
«гнд,1
гжёЏ г“Џћ жџ—Ё Џ«ѕне ћѕ« б«н” Ќё «б”Џ—. . «бгЎЏг жг” жм «бЁЎж—џн—гёнжб жџн— г джЏ жЏѕѕ«бЎ«жб«  ёбнб . «бгжёЏ г“Џћ жед«я ’Џж»е Ён «бѕќжб ж««бќ—жћ бяЋ—… «б Ќжнб«  Ён «бгдЎёе. «н÷« «б”—н— џн— г—нЌ жн”»» «б«г Ён «бўе— бЏѕг «” ё«г е. г«∆б Џбм «бћд»нд жг— ЁЏ Ён «бж”Ў.,0
Ќн« д« я√гж«ћ «б»Ќ— »нд гѕ жћ“— »нд Ё—Ќ жЌ“д Ё г”я »ё«—» «б’»—,0
«г«де «‘ —яж« б”« г« »ѕ√  Ёне« —Ќ  Џћ»яг,1
гЎбж» гд «б‘«н ееееее,0
«ббе н—Ќге,0
гд «б«Ё÷б  џн—н гёѕг я,1
 нќ—» »н жжжжжжж ,0
—Ќб…. ”∆∆. яб ‘н «“Џ«ћ гд «б‘»«» ж«б”е— ѕ«ќб «бЁдѕё гж«ёЁ «б”н«—«  ўнё… б«нжћѕ ≈б« гЎЏг ж«Ќѕ ж«яб… ”н∆ «б янЁ ”н∆ ббџ«н…  б«нжћѕ Ќ–«Ѕ ббЌг«г «я—гяг «ббе «бгд‘Ё… ёѕнг… жг е«бя…ж«бё«∆г… Ўжнб… б« «д’Ќ »… ёЎЏн«,0
  «Ё÷б,1
«д н Ќбж я ннн—,1
«б«ќн—е ёжне г’—не Ў»«бе еееееее,0
»”  —е Џ«ѕн «бЌћ— «б’Ќн »«ѕ∆ гд “г«д ж«’бд «д е,1
 Ё«ћ√  »е– «бЁдѕё » ж«÷Џе ж÷ЏЁ «гя«дн« е гё«—д… »”Џ—е. б« ‘н ”жм «б”—н—. яб ‘н,0
н««—»н гЌѕ ќ«ё Џ «б’ж  «’б« ,0
жя√д «бЁб”Ўндннд «б–нд нё бег «бнежѕ «б«”—«нбнжд б«ёнг… бег б«нгяд «д ддћ— ќбЁ «гЋ«б «бгЎ»Џнд гЏ «бян«д ждд«ё‘ гЏег Ћж«» д«   Ќ»ж б«ебд« Ён Ёб”Ўнд гд «ебяг Ён «бћ“«∆—,0
—нг «б“нд  —Ќ ягбе« «бнжг »«–д «ббе ,1
”н«—… Ќг—«Ѕ,1
√д« Ќ»н  »” ≈бн Ќ»н ж Ќ»дн ж »Џѕ Ё —… ’«— н÷—»дн жг« ге г Ёнд “н «б√жб,0
Ќбж… бг« «нгЏе«   я—дн »Ќ»н» н,1
—г÷«д я—нг ж —еЁ «Ќб« ќѕЏ е«  «б’—«Ќ«ЮЮЮЮЮЮ,1
   «д« еяжд «ёжн гд «н Ќѕ —џг «д «д« б”« »«ќѕ «б«д ё«ѕ«  ѕн б”« жбг« »Џѕн гд Џдѕег »Ќ” »я—еег ж»н“нѕ ж«бб«”Ё «д« »‘жЁег яб нжг «д« бг« «Ќёё Ќбгн ж«Џгб «ббн Ён  Ё”н «д« ед”«ег “н г« д”ждн г‘ ен‘жЁж« ж‘н  «дн ж«д« г «яѕе «бяб «ббн Џгбже ендѕгж« Џбн,0
г “бћ Џбм «бћбнѕ,1
ќѕЏ —еЁ «Ќбм гд ќѕЏ »‘«—  —еЁ Ёѕжже –« ‘Ё н  Џбнён д‘—н —«»Ў ёд« н Џбм «бнж нж»  «бн∆д ж«ббе  Џ»  Џбне,0
Ёдѕё  Џ»«д .. ”н∆ ббџ«не. . ќѕге «бЁдѕё бн”  ћнѕе ЌнЋ б« нжћѕ «е г«г »«б÷нЁ гд ћгнЏ «бдж«Ќн. ЁёЎ Џдѕ «б«” ё»«б н” ё»бждя »ёеже ж »Џѕ «бѕЁЏ б« нЏн—ждя «е г«г . «–« яд   Ќ «ћ б‘нЅ Џбня «б« ’«б г—«е Џѕнѕе бян н г «б—ѕ Џбня ж «–«  г «б—ѕ нќ»—ждя «дег ”нЏ«жѕжд «б« ’«б ж бд нЏ«жѕж ..«бџ—Ёе бг  яд ћ«е“е »жё е« гЏ «бЏбг »«дд« ж’бд« жё  «бЏ‘«Ѕ ж «бџ—Ё  «ќ—  ё—«» «б”«Џе бян  ће“.«б«ЁЎ«— бн” г джЏ ж «–« Ќ÷—  ё»б «д е«Ѕ »гжЏѕ «б«ЁЎ«— »д’Ё ”«Џе бд  Ќ’б «б« Џбм яг ’дЁ ЌнЋ «д ћгнЏ «б«’д«Ё  г «ќ–е« .нжћѕ ё«Џ «д Ён ё”г «б«ЁЎ«— ж«Ќѕе бб«ЁЎ«— жж«Ќѕ ббџѕ«Ѕ. ж ё«Џе «бџѕ«Ѕ б«  жћѕ ед«я «н б«∆Ќе  ж÷Ќ –«бя . «бж«бѕ ж «бж«бѕе ѕќбж ё«Џе «бџѕ«Ѕ бб«ЁЎ«— ЌнЋ б«нжћѕ ‘н гя ж» ггджЏ «бѕќжб «ж гжўЁ н—‘ѕег »–«бя ж я«д  ед«я Џ«∆бе гЏ «ЎЁ«бе« ћ«б”нд Ёне« ж «бё«Џе  »нд бя »«де« ё”г ббЏж«∆б ж «Ћд«Ѕ «ЁЎ«—ег « м ж«Ќѕ гд «бЏ«гбнд нќ»—ег »«д е–е «бЎ«жбе ЁёЎ гќ’’ ббџѕ«Ѕ ЁёЎ ж бг нЌ —г »«д ед«я «‘ќ«’ н«ябжд Ёне« ж нћ» «Ќ —«г «б÷нЁ ж «ќ»«—е ё»б «д нћб”.«–« ”«б  «н гжўЁ нёжб бя « ’б Џбм «б—ёг ..... ж гд —ёг «бм —ёг бян  Ќб г‘яб я. »‘гб Џ«г «бгжўЁжд бн”ж ќѕжгнд ж бн”ж »‘ж‘нд.гЋб« бян  Ўб» Ћбћ ббѕж«Ѕ ж ”жЁ дѕЁЏ бег  нёжбжд бн” Џдѕд«.«бџ—Ё ÷нёе ћѕ« ћѕ« ж «бЌг«г ÷нё .. »‘яб Џ«г «бџ—Ёе ядћ «ж  «‘ќ«’ ћѕ« ÷нёе.«бгянЁ б«  ” ЎнЏ «џб«ёе Ёеж нЏгб »‘яб «ж жг« ня гЏ »Ў«ёе «бџ—Ёе . ћж «бгѕнде »««—ѕ Ё«÷Ў—нд« б«ќ– «б»Ў«ёе гд «б»«» ЌнЋ ћгнЏ «б«дж«— ж «бгн«е гд «бЌг«г  џбё Џдѕг«  «ќ– «б»Ў«ёе гд гя«де« ж е–« бян ндџбё «бгянЁ. гЏ «бЏбг »«д  г ”ƒ«б гжўЁ «б ўнЁ ж ”ƒ«б гжўЁ Ќгб «бЌё«∆» Ќ«жбж ж бг нЏ—Ёж ж яг« –я—  Ќ«жб  «б« ’«б »«б«” ё»«б «яЋ— Џд г—е б« нћн»ж Џбм «бе« Ё.«бџ—Ё бн”  г’«де »‘яб ћнѕ ЌнЋ «д «д»ж» «бг«Ѕ ж «д   џ”б ќ—ћ гд гя«де Ёћ«е ж «г б∆ «бЌг«г »«бг«Ѕ . «бгдў—е «бћ«д»не «–« Ќ—я е« ”жЁ  ёЏ .ќѕге «б«д —д  ÷ЏннннЁе ћѕ« ћѕ«  Ќ«жб «” ќѕ«г «б«д —д  нџбё яб ‘жн ж  Ќ«жб «б« ’«б гћѕѕ«.бян  ‘Ќд «бе« Ё «ж «н ће«“ «бяе—»«Ѕ ÷ЏнЁе ЌнЋ «де бд н г ‘Ќд «бе« Ё Ёяб ‘жн «б‘ћд н жёЁ.. гЏ «бЏбг »«ддн ћ—»  ћгнЏ «г«яд «б‘Ќд Ён џ—Ё нд .. «÷Ў—н  бЁ Ќ «б«» ж» ж  ж’нбе »«бе« Ё бян н г ‘Ќде.,0
«бг–нЏ ‘яѕ Ќбж ’ж … »Џнѕ« Џд яж—жд« ,1
«б≈Џб«г ябе я«–» б«д «б —ћге џн— ’ЌнЌе ббџе «б’ндне,0
√д« дж— √Ќ»я,1
«д« бг «÷Ќя жб« Ќ н «» ”г ябе« ”ќ«Ёе,0
‘—Ќ ћгнб »” б«Ќў  «дя гж я«”— ”—Џ… «бгЏ«бћ Ён «б»ж  гЏ «дж «д  г” Џгб г»—ѕ гЌ —г гд  еб ггяд  ёжб «б”»»,1
«ббе н—Ќгее« ж «‘н ћѕнѕ,0
««««««««««««е жЁ,0
Ё«дж” «н“«я«н«,1
«ббе н—Ќге жё бже «’нднд «бЌя«г б«”я« е,0
ж«ббе «яЋн— гћ—жЌе жг Џ–»е жг—н÷е «ѕЏжбн »б ‘Ё«Ѕ б«д ѕЏж… «бџ—н» г” ћ«»е ,0
Џёѕ… ,1
 Ё Џбм ‘—Ёяж ж‘—Ёж гќдЋнд,0
ѕ«∆г« » ќбндн «÷Ќя ‘я—«««,1
«««««««««««««««««««««««е,0
«бдЌнЁ… г« ’ѕё еж яг«д «б гЋ«б,0
ёг… «б Ё«««««««е… е–« «б»—д«гћЎ»Џ« »ѕжд «бяб«г Џд «бЋё«Ё… «б”ЎЌн… ж «б‘»е гЏѕжг… бгёѕг «б»—д«гћ,0
»ѕн ёнг «бџг«“……… ,1
е–жбе гќ»бнд ,0
«д« ”ж—н… «ббе нЌгн ”ж—н…,1
«Ќбм «»ж «б—»  ,1
«бн Џгб е «ћ—«г,0
б« н’бЌ бб”яд «б«‘ќ«’ «б–нд н‘ —жд —«Ќ ег б« гд  Џ«гб жб« гд ёнге жб« гд «Ћ«Ћ. «бгжёЏ. яб ‘н,0
гќн» бб√гб. . «бг»бџ г»«бџ »е,0
    я »н ееееее «жб« ‘жЁ  ябг »’нџе –я— √ж √дЋм »Џѕнд  Џ«б «бЁб”Ё…яЁ«н… ћЏѕднн  дЌд« «ббн Џбг дяжд Џ—»н »ѕжд «бЁндн∆н г«яд ж ’— ж ‘н ,0
«ббе н‘Ёнег ябег г—÷м .жбне «б«Ё ќ«— «’б«,0
 «ё—«е« «б«д,1
дў«—« ,1
д«««— »гж  Џбне««« д«— д«— д«— д«— д«—д«— д«— д«—,1
гнд н’бн  —¬жнЌ нЌЎ б«ня»” е–« «бЏѕѕ,1
еж« жбѕ бж »д ,0
б»д«д яб гд«ня е« »—жЌж« Џбм «гн—я« гЋб г«н« ќбнЁ… ж«ќж «б‘—гжЎ… е«ѕ «бн »бЁнѕнж»ёбяг ‘нЅ »” Џбм «б”—нЏ бж  нћж Џд« »Ёб”Ўнд ж«ббе бЌ—ё «»ж —»яг,0
гЋбћ« ,1
‘—нЎ Ёнѕнж,1
Ќбж «б‘яб »” я«д дё’… я«гн—« ќг”… ћже «ж »ѕ«ќб «бгЏнд »”Џ— ћдне г’—н бяд г«“«б «ж»ж —ндж «Ё÷б »Џѕ «беж«жн гн  »—ж,1
—ёг  ‘Џж—ег  ќжЁ,0
 Џ—нЁ »«бежн…,1
ггджЏ «беж« Ё,0
нЏг—н »ћдд е«н бџдн «дн бЌѕ е”е «”гЏе Џ‘Р Џ‘Р  ж«д‘«ббе »“…«ћн ег «‘џбе ж«д ж Ќ«÷—нд «ѕЏжбн Ќ»«н»н,1
гћ—». бг нЏћ»дн ‘н. яб ‘н «ёѕ— «ёжб Ёдѕё  едѕн  дў«ге ж — н»е н’бЌ ббћ«бне «бедѕне ЌнЋ ћгнЏ г—«Ёёе ябе«  ќ’ «бћ«бне «бедѕне,0
—«∆Џ. ё—н» гд «бЌ—г дўнЁ.  Џ«гб ќѕг«  «бџ—Ё,0
ен «бгћгжЏ… бг «»Џнд «бнж нж» ЌнЋ д ѕ«жб Ёне« «ќ»«— «бнж нж» жг‘«яб «бнж нж»— ждЏЎн «—«∆д« Џг« нћ—н «бгћгжЏ… ћѕнѕ… ж’џн—… »” гЏяг »дя»— ,1
гќн» бб√гб. гжёЏе ё—н» гд «бЌ—г е–е «б«нћ«»н… «бжЌнѕ… ж«б»«ён ябе ”нЅ. «б÷жЅ ггб ж«бдў«Ё… ”н∆« ћѕ«,0
г»—жя н« Ќ»н» н Џ ё»«б гбнжд,1
» Џ—Ё гедѕ”  «д « «д”«д гЌ —г жгћ еѕ ж»Ўб» гдя «дя   ЌЁд« ѕ«∆г«,1
«ќ— ѕжб… »  ябг Џд «б Ў»нЏ ен ѕжб… «бгж“ ёд’бн… ёЎ—«∆нб Ён «”—«∆нб ж ћ«—… гЏег ж“н«—«  »нд »Џ÷,0
«б”Џжѕн… ж«б«г«—«  ж»Џ÷ ѕжб «б«дўг… г« яЁ«ег яж—жд« же»жЎ ”Џ— «бдЁЎ «д ‘«Ѕ «ббе —»д« нд“б нгЌёяг жнгЌё яб гд нЎ»Џ гЏ «б’е«нд… жнќжд «б«”б«г ж«бг”бгнд,0
ггяд г «»Џе ёд« н,0
ћ«не гд ,1
‘ябя Ќё г’«—Џ ѕќб ,0
ћ«я янЁж— д бг няд гд «б√Ў»«Ѕ «б”нЅ… »б н—Ќг «бд«” гд «б√бг н–я—дн »г”б”б √ж»—« Џ«нѕ… б«д Џ«нѕ… Џгб  дЁн «б‘нЅ,0
»Ќ»я я н— н« —еЁ,1
Ё√—,0
Ќбёе —«∆Џе »” «д« Џдѕм ”ƒ«б еж бж  гд «б«—»Џе бж ћ—«бе Ќ«ће  «бм г ”ћбе Џбнег ябе« е —жЌ «д« Џбм Ќѕ Ёегм «д «д  » ” ќѕг «бЌѕ «б«ё’м гд «б «б«—»Џе  нЏдм «бгбЁ «бм  гЌ«” е  »н ё”г  бяб  Џ‘«д  Џ—Ё  ћн» «б”—Џе ѕм Ё бж «бгбЁ ѕе  жћ—м б  гд «б«—»Џе Ќ«ће яѕе «б е »жў »”»»е ,1
»Ќ»я я н—————  —»«,1
ё«бя ЁнЁж ё«б «ббе нбЏдяг гЏе н« ёжг бжжжЎ,0
г« «—нѕ яб нжг  д“б еѕн  б«Ёжд »я,0
н« г«—н г«— еж «бд»н «ќ»«—яг »яб Ќ«ће  Ўн» бне «д г  Ён “нб «б√гг ж √яЋ— ‘Џж» «бЏбг  ќбЁ«,0
«б»” ждн,1
гќн» бб√гб. ”Џ… «бџ—Ё…ж”Џ… «бћд«Ќ. ÷ЏЁ Ён «бќѕг«  «бгёѕг…. б«нжћѕ»жЁне гг «“.Џѕг Ќ÷ж—«бЏ«гб Џдѕ«Ќ н«ће,0
÷ЏнЁ ћѕ«р. б«нжћѕ ‘н  ЌнЋ «ддн ќ—ћ  где ж«д ёб  «бн Ёдѕё «ќ—. «бг”«Ёе «бг–яж—е  янбж Џд «бЌ—г же–« џн— ’ЌнЌ ЌнЋ «д »«’ «бЁдѕё нд“бяг Ён Ў—нё «ћн«ѕ ж«б»«ён  ягбе г‘н Ёёѕ—ж« «бг”«Ёе «д г «бгж«ёЁ ћѕ« ”не  б« «Ќѕ н—ѕ Џбн «бе« Ё «бн  д“б бег ж ќ»—ег »Ўб»« я Ёдѕё ”н »яб «бгЏ«н—,0
бн” гћ«дн,0
’«н— ”гнннд »«ббе,0
